Flock_ID,Julian_Date,Season,Site_Segment,Transect,Site,Minute,Minute_2,Chlorospingus,Species,Size,Furnariid_Sp,Tyrannid_Sp,Migrant_Sp,Thraupid_Sp,SESFRic,SESFDis,SESPD,SESMPD,Dist_Edge,1km_forest,1km_edge,Canopy_Cover,Understory_Density,Tree_Size,Vertical_Structure,Trogon collaris,Trogon personatus,Eubucco bourcierii,Veniliornis dignus,Veniliornis fumigatus,Colaptes rubiginosus,Piaya cayanna,Picumnus granadensis,Premnornis guttuligera,Premnoplex brunnescens,Margarornis stellatus,Pseudocolaptes boissonneautii,Xenops rutilans,Syndactyla subalaris,Anabacerthia striaticollis,Philydor rufum,Thripadectes holostictus,Thripadectes virgaticeps,Dendrocolaptes picumnus,Xiphorhynchus triangularis,Lepidocolaptes lacrymiger,Dysithamnus mentalis,Phyllomyias nigrocapillus,Phyllomyias cinereiceps,Mecocerculus poecilocercus,Phylloscartes poecilotis,Phylloscartes opthalmicus,Leptopogon rufipectus,Mionectes striaticollis,Myiophobus flavicans,Nephelomyias pulcher,Myiophobus fasciatus,Pyrrhomyias cinnamomeus,Contopus fumigatus,Myiarchus tuberculifer,Myiarchus cephalotes,Pipreola riefferi,Ampelioides tschudii,Pachyramphus versicolor,Pachyramphus polychopterus,Snowornis cryptolophus,Cyclarhis nigrirostris,Vireo leucophrys,Hylophilus semibrunneus,Cyanocorax yncas,Henicorhina leucophrys,Hemispingus frontalis,Creurgops verticalis,Anisognathus notabilis,Anisognathus somptuosus,Iridosornis porphyrocephalus,Chlorochrysa nitidissima,Sporothraupis cyanocephala,Tangara ruficervix,Tangara heinei,Tangara nigroviridis,Tangara labradorides,Tangara gyrola,Tangara xanthocephala,Tangara arthus,Tangara vitriolina,Chlorophanes spiza,Diglossa caerulescens,Diglossa cyanea,Diglossa albilatera,Tiaris olivaceus,Coereba flaveola,Saltator atripennis,Arremonops bruneinucha,Atlapetes albinucha,Chlorospingus canigularis,Chlorospingus semifuscus,Habia cristata,Piranga flava,Amblycercus holostictus,Setophaga pitiayumi,Myiothlypis coronatus,Basileuterus tristriatus,Myioborus miniatus,Euphonia laniirostris,Euphonia xanthogaster,Chlorophonia phyrrophrys,Chlorophonia cyanea,Mniotilta varia,Setophaga fusca,Cardellina canadensis,Vermivora chrysoptera,Vireo flavifrons,Piranga rubra,Leiothlypis peregrina,Setophaga cerulea,Myrmotherula schisticolor,Setophaga castanea,Campylorhamphus pusillus,Dendrocincla tyrannina,Cinnycerthia olivacea,Chlorornis riefferii,Pheucticus ludovicianus,Vireo olivaceus
62,168,0,Guardia-1,La Guardia,8,522,272484,1,15,24,1,1,0,6,-1.030176878,-2.212324823,-1.399457829,-2.566595432,4,49.42,26.51,0.825687803,1.736452869,-1.686062568,0.287167713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,3,0,1,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,168,0,NA,La Guardia,8,574,329476,1,15,18,2,2,0,3,-1.368873275,-2.185463902,0.909219967,0.94263755,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,169,0,Rocio-3,El Rocio,8,606,367236,0,12,15,3,2,0,2,1.075928277,-0.662200787,0.708074515,1.52173507,83,43.19,25.16,-1.388800558,2.161760666,-2.119182082,0.580645173,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,169,0,Rocio-5,El Rocio,8,633,400689,0,18,24,3,2,0,5,-0.592604077,-0.610422497,-0.182042298,0.584660054,69,43.19,25.16,-0.123378637,1.193742026,-1.434790325,1.001614546,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,169,0,NA,El Rocio,8,670,448900,0,12,14,1,1,0,3,-0.278415745,-1.353441371,1.737002722,0.657161303,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,173,0,Eden-2,El Eden,6,508,258064,1,19,25,5,3,0,3,-0.606961274,-1.095373379,0.115636934,0.974341259,104,40.01,22.96,-0.281556377,0.082189417,0.895792793,0.442559279,0,0,2,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,173,0,Eden-4,El Eden,6,560,313600,0,9,18,3,2,0,0,-0.039832213,0.200449054,0.499973669,0.609731449,163,40.01,22.96,-0.597911858,0.692041499,1.052635252,-0.259968117,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,173,0,Eden-3,El Eden,6,610,372100,0,13,18,1,2,0,4,-1.576604697,-0.946471154,0.204311159,0.525958811,118,40.01,22.96,0.983865543,0.530443631,-1.41033332,0.590995797,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,173,0,Eden-1,El Eden,6,650,422500,0,6,10,1,0,0,1,-1.288613319,-1.433699509,1.458247708,0.824433343,63,40.01,22.96,-0.914267338,0.534672024,-0.34807433,0.313042991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,173,0,Eden-5,El Eden,6,695,483025,1,15,23,2,3,0,2,-1.551976843,-1.311724292,0.553589723,0.368962095,108,40.01,22.96,0.983865543,1.312224141,-0.439940242,1.146367423,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
